"293","Estad?stica","Spiegel",,"2"
"294","QUIMICA - CURSO UNIVERSITARIO","Bruce Mahan","Rollie Myers","4"
"295","ALGEBRA LINEAL","Fraleigh","Beauregard","1"
"296","FISICA 2                                                                                            ","Halliday                                                                                            ","Resnick                                                                                             ","1"
"297","INVESTIGACION DE OPERACIONES: INTERPRETACION DE MO","NAGHI, MOHAMMAD",,"1"
"298","CONTROL DE UN SISTEMA DOM?TICO Y SUPERVISI?N DE CONSUMO ENERG?TICO MEDIANTE SERVIDOR Y APLICACI?N ANDROID","Cristhian David Ben?tez Esp?nola.","Cristian Eduardo Olmedo Avalos",
"299","ARQUITECTURA DE COMPUTADORES","ANASAGASTI, PEDRO DE MIGUEL","ANGULO USATEGUI, JOSE MARIA","3"
"300","EL CALCULO CON GEOMETRIA ANALITICA","Leithold. Louis",,"1"
"301","EL LENGUAJE DE PROGRAMACION C","Brian W. Kernighan",,"2"
"302","SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",,
"303","CONTABILIDAD BASICA","Paulino Aguayo Caballero",,"1"
"304","MATEMATICAS PARA COMPUTACION","Lipschutz",,"1"
"305","GEOMETRIA ANALITICA: PLANA Y DEL ESPACIO","kINDLE, JOSEPH H.",,"1"
"306","FISICA","Giancoli",,"3"
"307","ECUACIONES DIFERENCIALES","Boyce","Diprima","3"
"308","QUIMICA GENERAL","Ru?z, Pozas","L?pez, Gonz?lez","1"
"309","PROBABILIDAD Y ESTADISTICA APLICADAS A LA INGENIER","Montgomery","Runger","1"
"310","FISICA **","Tippler",,"3"
"311","TEORIA DE CONJUNTOS Y TEMAS AFINES","SEYMOUR - LIPSCHUTZ",,"1"
"312","FUNDAMENTOS DE FISICA","BLATT, FRANK J.",,"3"
"313","CALCULO CON GEOMETRIA ANALITICA","Protter","Morrey","1"
"314","METODOS NUMERICOS CON MATLAB","Mathews","Fink","3"
"315","PROBABILIDAD Y ESTADISTICA","SPIEGEL",,"1"
"316","FISICA 2","Halliday","Resnick","1"
"317","FISICA 1","Resnick","Halliday, Krane","4"
"318","QUIMICA - PRINCIPIOS Y APLICACIONES","Michell Sienko","Robert Plane","1"
"319","QUIMICA - CURSO UNIVERSITARIO","Bruce Mahan","Rollie Myers","4"
"320","FISICA **","Tippler",,"3"
"321","FISICA 1","Resnick, Halliday","Krane","4"
"322","FISICA                                                                                              ","Giancoli                                                                                            ","                                                                                                    ","3"
"323","A.P.O. MANUAL DO LIDER                                                                              ","Giegold                                                                                             ","                                                                                                    ","1"
"324","ADMINISTRACION - UNA PERSPECTIVA GLOBAL","Koontz","Weihrich","1"
"325","PRINCIPIOS DE ADMINISTRACION","Terry","Franklin","9"
"326","PRINCIPIOS DE ADMINISTRACION","Terry","Franklin","9"
"327","CONTABILIDAD DE COSTOS - SOLUCIONES DE PROBLEMAS","Neuner","Deakin","1"
"328","CONTABILIDAD DE COSTOS - SOLUCIONES DE PROBLEMAS","Neuner","Deakin","1"
"329","CONTABILIDAD DE COSTOS - PRINCIPIOS Y PRACTICA","Neuner","Deakin","1"
"330","CONTABILIDAD DE COSTOS - PRINCIPIOS Y PRACTICA","Neuner","Deakin","1"
"331","TRATADO DE CONTABILIDAD ELEMENTAL","Zelaya",,"1"
"332","FUNDAMENTOS DE LA TEORIA ELECTROMAGNETICA                                                           ","Reitz; Milford                                                                                      ","Christy                                                                                             ","3"
"333","INTRODUCCION A LOS SISTEMAS OPERATIVOS                                                              ","Alcalde                                                                                             ","Morera y Otros                                                                                      ","1"
"334","HABLEMOS INGLES","ROMEISER - BRUNO","RICE","1"
"335","CIRCUITOS ELECTRICOS","Mohmood Nahvi","Joseph A. Edminister",
"336","CODIGO LABORAL DE LA REPUBLICA DEL PARAGUAY","PLANO DE EGEA, JOSE",,"1"
"337","BREVE HISTORIA DE LA CULTURA EN EL PARAGUAY","Vel?zquez, Rafael",,"1"
"338","ARQUITECTURA DE COMPUTADORES","Mano, Moriso",,"1"
"339","PRINCIPIOS DE ELECTRONICA","MALVINO",,"5"
"340","Curso de Electromagnetismo","M Bisceglia - E Zubcov","JC Fernandez","2da Edici?n"
"341","INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE","HELFRICK, ALBERT D.","COOPER, WILLIAM D.","1"
"342","EJERCICIOS Y PROBLEMAS DE ALGEBRA LINEAL","Rojo","Mart?n","1"
